Date;Heure;Valeur
24/03/2021;16:28:07;38.4
24/03/2021;16:32:20;37.1
24/03/2021;16:35:13;36.7
24/03/2021;16:50:25;35.2
24/03/2021;17:02:26;33.6
24/03/2021;17:17:41;31.9
24/03/2021;17:29:43;30.3
24/03/2021;17:45:00;28.2
24/03/2021;17:50:57;27.2
24/03/2021;18:06:16;24.1
24/03/2021;18:09:10;23.5
24/03/2021;18:24:32;20.2
24/03/2021;18:27:26;19.6
24/03/2021;18:42:51;16.9
24/03/2021;18:45:46;16.5
24/03/2021;19:01:13;14.6
24/03/2021;19:10:19;13.6
24/03/2021;19:25:49;12.1
24/03/2021;19:41:20;11
24/03/2021;19:47:22;10.6
24/03/2021;20:02:54;9.6
24/03/2021;20:18:26;8.8
24/03/2021;20:34:00;8.2
24/03/2021;20:46:17;7.6
24/03/2021;21:01:51;7.1
24/03/2021;21:17:27;6.6
24/03/2021;21:33:03;6.2
24/03/2021;21:48:39;5.8
24/03/2021;22:04:15;5.4
24/03/2021;22:19:52;5
24/03/2021;22:35:19;4.7
24/03/2021;22:50:57;4.5
24/03/2021;23:06:34;4.2
24/03/2021;23:22:13;3.9
24/03/2021;23:37:51;3.6
24/03/2021;23:53:30;3.4
25/03/2021;00:09:09;3.2
25/03/2021;00:24:48;2.9
25/03/2021;00:40:28;2.7
25/03/2021;00:56:08;2.5
25/03/2021;01:11:48;2.4
25/03/2021;01:27:28;2.3
25/03/2021;01:43:08;2.2
25/03/2021;01:58:48;2
25/03/2021;02:08:02;1.9
25/03/2021;02:23:43;1.7
25/03/2021;02:39:24;1.5
25/03/2021;02:55:05;1.4
25/03/2021;03:10:46;1.2
25/03/2021;03:26:27;1.1
25/03/2021;03:42:08;1
25/03/2021;03:43:31;1
25/03/2021;04:13:31;0.8
25/03/2021;04:14:54;0.8
25/03/2021;04:44:54;0.6
25/03/2021;05:00:36;0.5
25/03/2021;05:16:18;0.3
25/03/2021;05:32:00;0.2
25/03/2021;05:33:26;0.2
25/03/2021;06:03:26;0.1
25/03/2021;06:04:50;0.1
25/03/2021;06:34:50;0
25/03/2021;06:50:33;0.2
25/03/2021;07:06:15;0.6
25/03/2021;07:21:56;2
25/03/2021;07:37:36;3.5
25/03/2021;07:53:14;4.6
25/03/2021;07:56:11;4.8
25/03/2021;08:11:48;5.7
25/03/2021;08:27:24;6.7
25/03/2021;08:43:00;7
25/03/2021;08:49:04;7.7
25/03/2021;09:04:37;9.9
25/03/2021;09:10:40;10.9
25/03/2021;09:26:11;12.8
25/03/2021;09:41:30;14.3
25/03/2021;09:56:58;17.4
25/03/2021;09:59:53;17.9
25/03/2021;10:15:18;19.4
25/03/2021;10:30:43;18.6
25/03/2021;10:45:57;21.1
25/03/2021;11:01:19;24.5
25/03/2021;11:04:13;25
25/03/2021;11:19:34;24.9
25/03/2021;11:34:55;24.8
25/03/2021;11:47:01;21.3
25/03/2021;11:53:11;17.8
25/03/2021;12:05:31;21.1
25/03/2021;12:17:48;24.4
25/03/2021;12:33:07;26.5
25/03/2021;12:42:08;27.5
25/03/2021;12:57:26;27.8
25/03/2021;13:12:43;28.3
25/03/2021;13:28:00;27.5
25/03/2021;13:43:18;27
25/03/2021;13:58:37;26.2
25/03/2021;14:13:55;27
25/03/2021;14:29:13;27.3
25/03/2021;14:44:32;26.3
25/03/2021;14:59:51;25.7
25/03/2021;15:15:10;25.3
25/03/2021;15:30:30;24.9
25/03/2021;15:45:50;24.5
25/03/2021;15:54:52;24.4
25/03/2021;16:10:12;24.2
25/03/2021;16:25:33;24



































































































































































































































































